longitude,latitude,gravity_reading
-106.6835988,31.90858659,356.8690042
-106.6792622,31.90799102,358.0592093
-106.6794074,31.90375054,358.6882659
-106.6793229,31.90143545,359.3623274
-106.6793202,31.91153517,357.4925667
-106.6793816,31.91524436,356.9205307
-106.6751028,31.9152575,357.6363043
-106.6750398,31.91153179,358.204002
-106.675069,31.9078318,358.7857771
-106.6750845,31.90389504,359.498906
-106.675159,31.89996324,359.9877037
-106.6750877,31.89616215,360.4274903
-106.6758164,31.89225713,361.0553842
-106.6750733,31.88811818,361.9349168
-106.7286557,31.89098402,362.5085695
-106.7260507,31.89512026,361.2177941
-106.723501,31.89913452,360.1355683
-106.7208924,31.90323636,358.9883669
-106.7184874,31.90703697,357.6155959
-106.7174676,31.9087649,357.0155258
-106.7174736,31.91157092,356.5629299
-106.7174706,31.91537056,356.0209073
-106.7174721,31.9191302,355.4416925
-106.7174721,31.92295311,354.7837362
-106.7174553,31.92677003,354.452024
-106.7174623,31.9305558,354.0472635
-106.7174568,31.93435892,353.7657655
-106.7174553,31.93816297,353.6251386
-106.7174584,31.94205666,353.8695135
-106.7174521,31.94585034,353.5058598
-106.6497808,31.88127306,411.1263584
-106.649867,31.88511364,410.5676744
-106.6515682,31.88872325,409.7921688
-106.6536501,31.892601,408.9344103
-106.6561928,31.89617716,364.3233314
-106.6568853,31.90023197,363.7133042
-106.6573196,31.90389498,362.7998974
-106.6571701,31.907733,362.2524042
-106.6569482,31.91093652,361.6956319
-106.6572409,31.91537014,361.1945357
-106.6578504,31.91927462,360.6930931
-106.6584544,31.92309373,360.2395556
-106.6591064,31.92670622,359.8717715
-106.6596594,31.93167015,359.5071575
-106.6600634,31.93433779,359.3732268
-106.6617474,31.94574067,358.6979997
-106.6604425,31.94181408,358.9883158
-106.6604218,31.93781325,359.083383
-106.6393711,31.88603154,368.418794
-106.6393568,31.88871459,367.9490315
-106.6393531,31.89254176,367.3745052
-106.6393569,31.89639004,366.8681191
-106.6393453,31.90019492,366.4311475
-106.639551,31.90385468,365.9161856
-106.6398865,31.90760702,365.5983998
-106.643049,31.90703381,364.8424697
-106.6482373,31.90535356,363.0230119
-106.6466468,31.90673433,364.1354423
-106.6437013,31.91148501,363.2801779
-106.6393434,31.9155557,365.1610088
-106.6418119,31.91581777,364.3608368
-106.6709092,31.90848645,359.657168
-106.6660756,31.90850229,360.4892611
-106.6616702,31.90882989,361.2491211
-106.6666316,31.91158692,359.7993001
